date,provider,model,team,project,requests,input_tokens,output_tokens,cache_read_tokens,cost_usd
2026-05-19,bedrock,claude-sonnet-5,Delivery,Client Portal,2458,4551534,1598204,1020696,37.93
2026-05-19,bedrock,claude-haiku-4-5,Platform,Agent Runtime,21864,26691292,2327009,4961161,38.82
2026-05-19,bedrock,claude-sonnet-5,Platform,Agent Runtime,1089,1724568,303790,332961,9.83
2026-05-19,anthropic-api,claude-fable-5,Data Science,Forecasting,64,240721,137335,48784,9.32
2026-05-19,anthropic-api,claude-opus-5,Data Science,Churn Model,59,114443,57949,24497,2.03
2026-05-19,anthropic-api,claude-sonnet-5,Sales Engineering,Demo Builder,731,1125235,569018,188957,11.97
2026-05-19,anthropic-api,claude-haiku-4-5,Sales Engineering,Demo Builder,1847,2115258,255705,378630,3.43
2026-05-19,bedrock,claude-haiku-4-5,Support,Ticket Triage,8290,9863870,1040552,2173724,15.28
2026-05-19,bedrock,claude-sonnet-5,Support,Ticket Triage,458,741401,191044,139369,5.13
2026-05-20,bedrock,claude-opus-5,Delivery,Cortex CMS,134,279849,126401,53832,4.59
2026-05-20,bedrock,claude-opus-4-8,Delivery,Cortex CMS,391,908958,425767,154382,15.27
2026-05-20,bedrock,claude-sonnet-5,Delivery,Client Portal,3237,5649236,2682096,1150898,57.52
2026-05-20,bedrock,claude-haiku-4-5,Platform,Agent Runtime,24925,29519370,2816471,5020117,44.10
2026-05-20,bedrock,claude-sonnet-5,Platform,Ingest Pipeline,1469,2593698,550040,443421,16.16
2026-05-20,anthropic-api,claude-fable-5,Data Science,Forecasting,51,204231,167255,40768,10.45
2026-05-20,anthropic-api,claude-opus-5,Data Science,Forecasting,58,134703,68413,27890,2.40
2026-05-20,anthropic-api,claude-sonnet-5,Sales Engineering,RFP Assistant,707,1300938,511612,232948,11.65
2026-05-20,anthropic-api,claude-haiku-4-5,Sales Engineering,RFP Assistant,1986,2323631,253243,503710,3.64
2026-05-20,bedrock,claude-haiku-4-5,Support,Ticket Triage,10115,11575113,1068343,1969686,17.11
2026-05-20,bedrock,claude-sonnet-5,Support,Ticket Triage,453,839020,258606,190383,6.45
2026-05-21,bedrock,claude-opus-5,Delivery,Client Portal,152,375960,187237,79679,6.60
2026-05-21,bedrock,claude-opus-4-8,Delivery,Client Portal,464,926497,524119,198547,17.83
2026-05-21,bedrock,claude-sonnet-5,Delivery,Cortex CMS,3149,5262455,2295756,1196676,50.58
2026-05-21,bedrock,claude-haiku-4-5,Platform,Ingest Pipeline,22977,28096657,2183043,5790583,39.59
2026-05-21,bedrock,claude-sonnet-5,Platform,Ingest Pipeline,1122,1849119,433522,339803,12.15
2026-05-21,anthropic-api,claude-fable-5,Data Science,Forecasting,67,229968,189168,53232,11.81
2026-05-21,anthropic-api,claude-opus-5,Data Science,Churn Model,60,130743,65180,26629,2.30
2026-05-21,anthropic-api,claude-sonnet-5,Sales Engineering,Demo Builder,737,1157306,484672,210591,10.81
2026-05-21,anthropic-api,claude-haiku-4-5,Sales Engineering,RFP Assistant,2074,2370231,293726,441053,3.88
2026-05-21,bedrock,claude-haiku-4-5,Support,Ticket Triage,10243,11229078,1344118,2441098,18.19
2026-05-21,bedrock,claude-sonnet-5,Support,Ticket Triage,436,774193,259140,164979,6.26
2026-05-22,bedrock,claude-opus-5,Delivery,Cortex CMS,165,385357,209843,86481,7.22
2026-05-22,bedrock,claude-opus-4-8,Delivery,Cortex CMS,389,812664,423539,148554,14.73
2026-05-22,bedrock,claude-sonnet-5,Delivery,Client Portal,3043,5533114,1996691,1094767,46.88
2026-05-22,bedrock,claude-haiku-4-5,Platform,Agent Runtime,30225,33626260,3099171,6980306,49.82
2026-05-22,bedrock,claude-sonnet-5,Platform,Ingest Pipeline,1388,2276099,455835,495527,13.81
2026-05-22,anthropic-api,claude-fable-5,Data Science,Forecasting,67,204424,133106,40558,8.74
2026-05-22,anthropic-api,claude-opus-5,Data Science,Forecasting,86,174899,121889,39135,3.94
2026-05-22,anthropic-api,claude-sonnet-5,Sales Engineering,Demo Builder,723,1167564,592105,246355,12.46
2026-05-22,anthropic-api,claude-haiku-4-5,Sales Engineering,RFP Assistant,2144,2516675,250037,571326,3.82
2026-05-22,bedrock,claude-haiku-4-5,Support,Ticket Triage,11420,13608354,1198128,2730046,19.87
2026-05-22,bedrock,claude-sonnet-5,Support,Ticket Triage,429,787817,246696,179876,6.12
2026-05-23,bedrock,claude-opus-5,Delivery,Client Portal,41,97180,56044,18236,1.90
2026-05-23,bedrock,claude-opus-4-8,Delivery,Cortex CMS,94,188037,79253,38810,2.94
2026-05-23,bedrock,claude-sonnet-5,Delivery,Client Portal,704,1091489,485934,227544,10.63
2026-05-23,bedrock,claude-haiku-4-5,Platform,Ingest Pipeline,6010,6887892,575913,1514800,9.92
2026-05-23,bedrock,claude-sonnet-5,Platform,Agent Runtime,338,541207,101482,114461,3.18
2026-05-23,anthropic-api,claude-fable-5,Data Science,Churn Model,12,45579,38123,9723,2.37
2026-05-23,anthropic-api,claude-opus-5,Data Science,Forecasting,17,42904,26900,9166,0.89
2026-05-23,anthropic-api,claude-sonnet-5,Sales Engineering,Demo Builder,164,280999,140849,63748,2.97
2026-05-23,anthropic-api,claude-haiku-4-5,Sales Engineering,RFP Assistant,347,399227,42898,95440,0.62
2026-05-23,bedrock,claude-haiku-4-5,Support,Ticket Triage,2058,2520462,293373,555544,4.04
2026-05-23,bedrock,claude-sonnet-5,Support,Ticket Triage,128,205847,73271,48396,1.73
2026-05-24,bedrock,claude-opus-5,Delivery,Client Portal,40,76233,34824,18288,1.26
2026-05-24,bedrock,claude-opus-4-8,Delivery,Cortex CMS,106,253515,120783,59938,4.32
2026-05-24,bedrock,claude-sonnet-5,Delivery,Cortex CMS,578,1016429,431031,189233,9.57
2026-05-24,bedrock,claude-haiku-4-5,Platform,Ingest Pipeline,6623,7969889,669575,1875100,11.51
2026-05-24,bedrock,claude-sonnet-5,Platform,Agent Runtime,350,654653,108198,121394,3.62
2026-05-24,anthropic-api,claude-fable-5,Data Science,Forecasting,13,53026,43523,10730,2.72
2026-05-24,anthropic-api,claude-opus-5,Data Science,Forecasting,18,42007,20444,8272,0.73
2026-05-24,anthropic-api,claude-sonnet-5,Sales Engineering,RFP Assistant,175,273036,145586,65226,3.02
2026-05-24,anthropic-api,claude-haiku-4-5,Sales Engineering,Demo Builder,376,414467,52607,89379,0.69
2026-05-24,bedrock,claude-haiku-4-5,Support,Ticket Triage,1823,2068083,205279,476808,3.14
2026-05-24,bedrock,claude-sonnet-5,Support,Ticket Triage,121,206959,67429,45378,1.65
2026-05-25,bedrock,claude-opus-5,Delivery,Client Portal,199,399985,197329,95234,6.98
2026-05-25,bedrock,claude-opus-4-8,Delivery,Cortex CMS,452,856486,440784,175091,15.39
2026-05-25,bedrock,claude-sonnet-5,Delivery,Client Portal,3042,4583058,2010836,914915,44.19
2026-05-25,bedrock,claude-haiku-4-5,Platform,Agent Runtime,22209,26374634,1902428,5929310,36.48
2026-05-25,bedrock,claude-sonnet-5,Platform,Ingest Pipeline,1517,2654948,494000,507641,15.53
2026-05-25,anthropic-api,claude-fable-5,Data Science,Churn Model,59,177362,108405,44225,7.24
2026-05-25,anthropic-api,claude-opus-5,Data Science,Forecasting,86,180335,117197,37490,3.85
2026-05-25,anthropic-api,claude-sonnet-5,Sales Engineering,Demo Builder,796,1355188,607237,303633,13.27
2026-05-25,anthropic-api,claude-haiku-4-5,Sales Engineering,RFP Assistant,2218,2662026,294420,517129,4.19
2026-05-25,bedrock,claude-haiku-4-5,Support,Ticket Triage,11632,13608992,1622254,3155620,22.04
2026-05-25,bedrock,claude-sonnet-5,Support,Ticket Triage,451,814578,282564,194283,6.74
2026-05-26,bedrock,claude-opus-5,Delivery,Cortex CMS,185,395414,198013,76459,6.97
2026-05-26,bedrock,claude-opus-4-8,Delivery,Client Portal,463,1059312,633938,218473,21.25
2026-05-26,bedrock,claude-sonnet-5,Delivery,Cortex CMS,2544,4601016,2022741,1141754,44.49
2026-05-26,bedrock,claude-haiku-4-5,Platform,Agent Runtime,24172,27349907,2104700,5985850,38.47
2026-05-26,bedrock,claude-sonnet-5,Platform,Ingest Pipeline,1282,1956603,412903,451959,12.20
2026-05-26,anthropic-api,claude-fable-5,Data Science,Churn Model,54,171154,99144,40969,6.71
2026-05-26,anthropic-api,claude-opus-5,Data Science,Churn Model,86,164736,98650,40709,3.31
2026-05-26,anthropic-api,claude-sonnet-5,Sales Engineering,RFP Assistant,908,1555732,664922,332080,14.74
2026-05-26,anthropic-api,claude-haiku-4-5,Sales Engineering,RFP Assistant,2106,2501185,304076,628850,4.08
2026-05-26,bedrock,claude-haiku-4-5,Support,Ticket Triage,11844,13355175,1230445,2766821,19.78
2026-05-26,bedrock,claude-sonnet-5,Support,Ticket Triage,598,1077924,371171,242671,8.87
2026-05-27,bedrock,claude-opus-5,Delivery,Cortex CMS,259,638935,379234,136558,12.74
2026-05-27,bedrock,claude-opus-4-8,Delivery,Cortex CMS,459,1136152,588333,268596,20.52
2026-05-27,bedrock,claude-sonnet-5,Delivery,Client Portal,2521,4521587,1451436,959127,35.62
2026-05-27,bedrock,claude-haiku-4-5,Platform,Ingest Pipeline,27993,33724390,3147471,8521793,50.31
2026-05-27,bedrock,claude-sonnet-5,Platform,Agent Runtime,1493,2567020,527854,574351,15.79
2026-05-27,anthropic-api,claude-fable-5,Data Science,Forecasting,54,157455,126320,39982,7.93
2026-05-27,anthropic-api,claude-opus-5,Data Science,Forecasting,95,231920,136836,50212,4.61
2026-05-27,anthropic-api,claude-sonnet-5,Sales Engineering,RFP Assistant,772,1225608,538499,258891,11.83
2026-05-27,anthropic-api,claude-haiku-4-5,Sales Engineering,Demo Builder,1820,2146497,247677,461993,3.43
2026-05-27,bedrock,claude-haiku-4-5,Support,Ticket Triage,11304,13291862,1355753,2985034,20.37
2026-05-27,bedrock,claude-sonnet-5,Support,Ticket Triage,559,1003271,286852,250455,7.39
2026-05-28,bedrock,claude-opus-5,Delivery,Cortex CMS,210,461310,203819,115942,7.46
2026-05-28,bedrock,claude-opus-4-8,Delivery,Client Portal,414,855684,399507,219587,14.38
2026-05-28,bedrock,claude-sonnet-5,Delivery,Client Portal,2816,4577628,1515303,1177145,36.82
2026-05-28,bedrock,claude-haiku-4-5,Platform,Agent Runtime,26357,28942214,2012831,6354205,39.64
2026-05-28,bedrock,claude-sonnet-5,Platform,Agent Runtime,1313,2215525,411694,474433,12.96
2026-05-28,anthropic-api,claude-fable-5,Data Science,Churn Model,55,195684,141919,40115,9.09
2026-05-28,anthropic-api,claude-opus-5,Data Science,Churn Model,100,206023,112643,43427,3.87
2026-05-28,anthropic-api,claude-sonnet-5,Sales Engineering,RFP Assistant,721,1088335,475051,259036,10.47
2026-05-28,anthropic-api,claude-haiku-4-5,Sales Engineering,RFP Assistant,1649,2010887,218396,526673,3.16
2026-05-28,bedrock,claude-haiku-4-5,Support,Ticket Triage,9781,11640232,1231046,2476196,18.04
2026-05-28,bedrock,claude-sonnet-5,Support,Ticket Triage,596,968689,336128,244934,8.02
2026-05-29,bedrock,claude-opus-5,Delivery,Cortex CMS,237,504329,261064,100499,9.10
2026-05-29,bedrock,claude-opus-4-8,Delivery,Cortex CMS,402,805717,341628,173280,12.66
2026-05-29,bedrock,claude-sonnet-5,Delivery,Cortex CMS,2642,4519382,2163446,1193516,46.37
2026-05-29,bedrock,claude-haiku-4-5,Platform,Ingest Pipeline,28045,33521882,2521517,8560898,46.99
2026-05-29,bedrock,claude-sonnet-5,Platform,Ingest Pipeline,1553,2878955,581090,643962,17.55
2026-05-29,anthropic-api,claude-fable-5,Data Science,Churn Model,66,255153,190765,62683,12.15
2026-05-29,anthropic-api,claude-opus-5,Data Science,Churn Model,134,281122,153733,69385,5.28
2026-05-29,anthropic-api,claude-sonnet-5,Sales Engineering,RFP Assistant,926,1609306,597346,387414,13.90
2026-05-29,anthropic-api,claude-haiku-4-5,Sales Engineering,RFP Assistant,2200,2659007,277087,609989,4.11
2026-05-29,bedrock,claude-haiku-4-5,Support,Ticket Triage,9683,11352775,1101095,2766376,17.13
2026-05-29,bedrock,claude-sonnet-5,Support,Ticket Triage,497,786784,239691,197999,6.02
2026-05-30,bedrock,claude-opus-5,Delivery,Cortex CMS,53,116473,47186,29975,1.78
2026-05-30,bedrock,claude-opus-4-8,Delivery,Client Portal,93,219599,119086,51498,4.10
2026-05-30,bedrock,claude-sonnet-5,Delivery,Client Portal,610,1138822,439377,257342,10.08
2026-05-30,bedrock,claude-haiku-4-5,Platform,Ingest Pipeline,6530,7867648,727537,1710592,11.68
2026-05-30,bedrock,claude-sonnet-5,Platform,Agent Runtime,316,581561,129989,136655,3.74
2026-05-30,anthropic-api,claude-fable-5,Data Science,Churn Model,15,54393,44296,12988,2.77
2026-05-30,anthropic-api,claude-opus-5,Data Science,Forecasting,32,61233,37035,15482,1.24
2026-05-30,anthropic-api,claude-sonnet-5,Sales Engineering,Demo Builder,205,331158,126567,69719,2.91
2026-05-30,anthropic-api,claude-haiku-4-5,Sales Engineering,Demo Builder,418,464274,50717,105769,0.73
2026-05-30,bedrock,claude-haiku-4-5,Support,Ticket Triage,2353,2709605,321872,588164,4.38
2026-05-30,bedrock,claude-sonnet-5,Support,Ticket Triage,132,224268,64257,46170,1.65
2026-05-31,bedrock,claude-opus-5,Delivery,Cortex CMS,74,155280,62195,41578,2.35
2026-05-31,bedrock,claude-opus-4-8,Delivery,Cortex CMS,101,208713,123625,48910,4.16
2026-05-31,bedrock,claude-sonnet-5,Delivery,Client Portal,787,1276827,599674,304191,12.92
2026-05-31,bedrock,claude-haiku-4-5,Platform,Agent Runtime,5450,6179361,410689,1632825,8.40
2026-05-31,bedrock,claude-sonnet-5,Platform,Ingest Pipeline,297,465652,97801,96859,2.89
2026-05-31,anthropic-api,claude-fable-5,Data Science,Churn Model,14,49948,41545,11733,2.59
2026-05-31,anthropic-api,claude-opus-5,Data Science,Forecasting,35,75671,42843,19789,1.46
2026-05-31,anthropic-api,claude-sonnet-5,Sales Engineering,RFP Assistant,183,336087,127071,74926,2.94
2026-05-31,anthropic-api,claude-haiku-4-5,Sales Engineering,RFP Assistant,397,481087,62076,111838,0.80
2026-05-31,bedrock,claude-haiku-4-5,Support,Ticket Triage,2584,2996320,303476,715412,4.59
2026-05-31,bedrock,claude-sonnet-5,Support,Ticket Triage,102,185775,46326,45279,1.27
2026-06-01,bedrock,claude-opus-5,Delivery,Client Portal,275,628937,348741,168168,11.95
2026-06-01,bedrock,claude-opus-4-8,Delivery,Client Portal,371,817860,386109,210216,13.85
2026-06-01,bedrock,claude-sonnet-5,Delivery,Cortex CMS,2629,4014319,1806278,1072822,39.46
2026-06-01,bedrock,claude-haiku-4-5,Platform,Agent Runtime,32791,36702259,2490609,8618219,50.02
2026-06-01,bedrock,claude-sonnet-5,Platform,Ingest Pipeline,1503,2786222,593412,693919,17.47
2026-06-01,anthropic-api,claude-fable-5,Data Science,Forecasting,65,233326,180833,59346,11.43
2026-06-01,anthropic-api,claude-opus-5,Data Science,Forecasting,169,393254,274195,103961,8.87
2026-06-01,anthropic-api,claude-sonnet-5,Sales Engineering,RFP Assistant,776,1154352,579218,245623,12.23
2026-06-01,anthropic-api,claude-haiku-4-5,Sales Engineering,Demo Builder,2255,2506206,274410,523851,3.93
2026-06-01,bedrock,claude-haiku-4-5,Support,Ticket Triage,9516,10899464,1185414,2831097,17.11
2026-06-01,bedrock,claude-sonnet-5,Support,Ticket Triage,636,985693,315928,272169,7.78
2026-06-02,bedrock,claude-opus-5,Delivery,Cortex CMS,315,641351,297078,175673,10.72
2026-06-02,bedrock,claude-opus-4-8,Delivery,Client Portal,430,1037735,493716,221246,17.64
2026-06-02,bedrock,claude-sonnet-5,Delivery,Client Portal,3246,5219773,2071849,1478236,47.18
2026-06-02,bedrock,claude-haiku-4-5,Platform,Ingest Pipeline,25442,30669354,2782405,8478764,45.43
2026-06-02,bedrock,claude-sonnet-5,Platform,Agent Runtime,1606,2652392,598992,569582,17.11
2026-06-02,anthropic-api,claude-fable-5,Data Science,Forecasting,63,212128,123349,58797,8.35
2026-06-02,anthropic-api,claude-opus-5,Data Science,Churn Model,179,445151,269993,119494,9.04
2026-06-02,anthropic-api,claude-sonnet-5,Sales Engineering,RFP Assistant,772,1254326,649525,287116,13.59
2026-06-02,anthropic-api,claude-haiku-4-5,Sales Engineering,Demo Builder,2195,2405746,295871,606460,3.95
2026-06-02,bedrock,claude-haiku-4-5,Support,Ticket Triage,10655,12361996,1370351,3394977,19.55
2026-06-02,bedrock,claude-sonnet-5,Support,Ticket Triage,517,945220,230419,250460,6.37
2026-06-03,bedrock,claude-opus-5,Delivery,Cortex CMS,316,734392,347350,177935,12.44
2026-06-03,bedrock,claude-opus-4-8,Delivery,Cortex CMS,400,862149,387431,204846,14.10
2026-06-03,bedrock,claude-sonnet-5,Delivery,Cortex CMS,3740,6406679,2825578,1597872,62.08
2026-06-03,bedrock,claude-haiku-4-5,Platform,Agent Runtime,32636,38099954,2870661,10444421,53.50
2026-06-03,bedrock,claude-sonnet-5,Platform,Agent Runtime,1783,3143408,507927,742171,17.27
2026-06-03,anthropic-api,claude-fable-5,Data Science,Churn Model,62,246262,179196,70685,11.49
2026-06-03,anthropic-api,claude-opus-5,Data Science,Churn Model,146,357306,249922,81745,8.08
2026-06-03,anthropic-api,claude-sonnet-5,Sales Engineering,RFP Assistant,993,1844334,800656,500954,17.69
2026-06-03,anthropic-api,claude-haiku-4-5,Sales Engineering,RFP Assistant,1862,2078277,250565,484072,3.38
2026-06-03,bedrock,claude-haiku-4-5,Support,Ticket Triage,10320,11673677,1218596,3256969,18.09
2026-06-03,bedrock,claude-sonnet-5,Support,Ticket Triage,628,951509,289927,222618,7.27
2026-06-04,bedrock,claude-opus-5,Delivery,Cortex CMS,353,810083,327223,178299,12.32
2026-06-04,bedrock,claude-opus-4-8,Delivery,Cortex CMS,418,930381,495139,252148,17.16
2026-06-04,bedrock,claude-sonnet-5,Delivery,Client Portal,2936,4676061,2239453,1308018,48.01
2026-06-04,bedrock,claude-haiku-4-5,Platform,Agent Runtime,27601,31753951,2978558,8178581,47.46
2026-06-04,bedrock,claude-sonnet-5,Platform,Ingest Pipeline,1577,2847904,533935,788102,16.79
2026-06-04,anthropic-api,claude-fable-5,Data Science,Forecasting,76,217967,174350,63284,10.96
2026-06-04,anthropic-api,claude-opus-5,Data Science,Forecasting,180,391932,190839,106064,6.78
2026-06-04,anthropic-api,claude-sonnet-5,Sales Engineering,Demo Builder,809,1388473,705558,388393,14.87
2026-06-04,anthropic-api,claude-haiku-4-5,Sales Engineering,RFP Assistant,1923,2168826,289771,616129,3.68
2026-06-04,bedrock,claude-haiku-4-5,Support,Ticket Triage,10302,12343578,1461553,2954122,19.95
2026-06-04,bedrock,claude-sonnet-5,Support,Ticket Triage,666,1036096,280467,237200,7.39
2026-06-05,bedrock,claude-opus-5,Delivery,Cortex CMS,357,747027,307677,222914,11.54
2026-06-05,bedrock,claude-opus-4-8,Delivery,Client Portal,313,603290,358126,178548,12.06
2026-06-05,bedrock,claude-sonnet-5,Delivery,Client Portal,3529,5870121,2092588,1398158,49.42
2026-06-05,bedrock,claude-haiku-4-5,Platform,Ingest Pipeline,26622,32166647,2338286,8970534,44.76
2026-06-05,bedrock,claude-sonnet-5,Platform,Agent Runtime,1360,2366597,532898,566268,15.26
2026-06-05,anthropic-api,claude-fable-5,Data Science,Churn Model,81,282892,213981,80864,13.61
2026-06-05,anthropic-api,claude-opus-5,Data Science,Forecasting,183,461638,223246,106493,7.94
2026-06-05,anthropic-api,claude-sonnet-5,Sales Engineering,Demo Builder,1032,1887133,907421,469900,19.41
2026-06-05,anthropic-api,claude-haiku-4-5,Sales Engineering,RFP Assistant,1782,2107171,215629,536891,3.24
2026-06-05,bedrock,claude-haiku-4-5,Support,Ticket Triage,12107,13536196,1280916,3693232,20.31
2026-06-05,bedrock,claude-sonnet-5,Support,Ticket Triage,573,889207,309041,213443,7.37
2026-06-06,bedrock,claude-opus-5,Delivery,Cortex CMS,94,233190,99518,58404,3.68
2026-06-06,bedrock,claude-opus-4-8,Delivery,Cortex CMS,79,189489,111263,49914,3.75
2026-06-06,bedrock,claude-sonnet-5,Delivery,Cortex CMS,685,1183887,421085,300463,9.96
2026-06-06,bedrock,claude-haiku-4-5,Platform,Agent Runtime,6893,8068839,723676,2298179,11.92
2026-06-06,bedrock,claude-sonnet-5,Platform,Agent Runtime,385,636440,121180,144391,3.77
2026-06-06,anthropic-api,claude-fable-5,Data Science,Forecasting,17,49276,31831,13928,2.10
2026-06-06,anthropic-api,claude-opus-5,Data Science,Churn Model,33,67338,38658,19664,1.31
2026-06-06,anthropic-api,claude-sonnet-5,Sales Engineering,Demo Builder,232,415101,158485,107307,3.65
2026-06-06,anthropic-api,claude-haiku-4-5,Sales Engineering,Demo Builder,551,617935,65302,176836,0.96
2026-06-06,bedrock,claude-haiku-4-5,Support,Ticket Triage,2665,3124160,362474,900897,5.03
2026-06-06,bedrock,claude-sonnet-5,Support,Ticket Triage,106,187896,61517,54915,1.50
2026-06-07,bedrock,claude-opus-5,Delivery,Cortex CMS,84,207233,90615,62287,3.33
2026-06-07,bedrock,claude-opus-4-8,Delivery,Cortex CMS,95,210094,91742,50572,3.37
2026-06-07,bedrock,claude-sonnet-5,Delivery,Client Portal,817,1310028,511018,378402,11.71
2026-06-07,bedrock,claude-haiku-4-5,Platform,Agent Runtime,7063,7842695,703374,2314387,11.59
2026-06-07,bedrock,claude-sonnet-5,Platform,Ingest Pipeline,315,488744,99133,140904,3.00
2026-06-07,anthropic-api,claude-fable-5,Data Science,Forecasting,16,58920,45808,16737,2.90
2026-06-07,anthropic-api,claude-opus-5,Data Science,Churn Model,42,79246,40279,23294,1.41
2026-06-07,anthropic-api,claude-sonnet-5,Sales Engineering,Demo Builder,221,356210,191763,106861,3.98
2026-06-07,anthropic-api,claude-haiku-4-5,Sales Engineering,RFP Assistant,429,498274,60546,137232,0.81
2026-06-07,bedrock,claude-haiku-4-5,Support,Ticket Triage,2926,3466073,372656,1019031,5.43
2026-06-07,bedrock,claude-sonnet-5,Support,Ticket Triage,109,169512,59462,47553,1.41
2026-06-08,bedrock,claude-opus-5,Delivery,Client Portal,337,783642,466878,189003,15.68
2026-06-08,bedrock,claude-opus-4-8,Delivery,Cortex CMS,399,965713,429245,241359,15.68
2026-06-08,bedrock,claude-sonnet-5,Delivery,Cortex CMS,3273,5891201,2218812,1537235,51.42
2026-06-08,bedrock,claude-haiku-4-5,Platform,Ingest Pipeline,29670,34861724,2631618,10249242,49.04
2026-06-08,bedrock,claude-sonnet-5,Platform,Agent Runtime,1588,2527985,558956,734633,16.19
2026-06-08,anthropic-api,claude-fable-5,Data Science,Forecasting,66,219147,180031,58136,11.25
2026-06-08,anthropic-api,claude-opus-5,Data Science,Forecasting,206,490245,308809,138776,10.24
2026-06-08,anthropic-api,claude-sonnet-5,Sales Engineering,RFP Assistant,922,1639103,687789,436557,15.37
